
ABCB1_mut,coding variant,
ABL2_mut,coding variant,
ACACA_mut,coding variant,
ACVR1B_mut,coding variant,
ACVR2A_mut,coding variant,
AFF4_mut,coding variant,
AHCTF1_mut,coding variant,
AHNAK_mut,coding variant,
AKAP9_mut,coding variant,
ALK_mut,coding variant,
ANK3_mut,coding variant,
APAF1_mut,coding variant,
APC_mut,coding variant,
AQR_mut,coding variant,
ARAP3_mut,coding variant,
ARFGAP3_mut,coding variant,
ARFGEF1_mut,coding variant,
ARFGEF2_mut,coding variant,
ARHGAP29_mut,coding variant,
ARHGEF6_mut,coding variant,
ARID1A_mut,coding variant,
ARID1B_mut,coding variant,
ARID2_mut,coding variant,
ARID4A_mut,coding variant,
ARID4B_mut,coding variant,
ARID5B_mut,coding variant,
ASH1L_mut,coding variant,
ASPM_mut,coding variant,
ASXL1_mut,coding variant,
ASXL2_mut,coding variant,
ATM_mut,coding variant,
ATRX_mut,coding variant,
ATR_mut,coding variant,
AXIN1_mut,coding variant,
AXIN2_mut,coding variant,
B2M_mut,coding variant,
BAP1_mut,coding variant,
BAZ2B_mut,coding variant,
BCLAF1_mut,coding variant,
BCOR_mut,coding variant,
BCR-ABL_mut,coding variant,
BLM_mut,coding variant,
BMPR2_mut,coding variant,
BNC2_mut,coding variant,
BPTF_mut,coding variant,
BRAF_mut,coding variant,
BRCA1_mut,coding variant,
BRCA2_mut,coding variant,
BRWD1_mut,coding variant,
C15orf55_mut,coding variant,
CAD_mut,coding variant,
CASP8_mut,coding variant,
CCAR1_mut,coding variant,
CCND1_mut,coding variant,
CDH1_mut,coding variant,
CDK12_mut,coding variant,
CDKN1A_mut,coding variant,
CDKN1B_mut,coding variant,
CDKN2A_mut,coding variant,
CEP290_mut,coding variant,
CHD3_mut,coding variant,
CHD4_mut,coding variant,
CHD6_mut,coding variant,
CHD8_mut,coding variant,
CHD9_mut,coding variant,
CHEK2_mut,coding variant,
CIC_mut,coding variant,
CLASP2_mut,coding variant,
CLSPN_mut,coding variant,
CNOT1_mut,coding variant,
CNOT3_mut,coding variant,
COL1A1_mut,coding variant,
CREBBP_mut,coding variant,
CSDE1_mut,coding variant,
CTCF_mut,coding variant,
CTNNB1_mut,coding variant,
CTNND1_mut,coding variant,
CUL2_mut,coding variant,
CUX1_mut,coding variant,
CYLD_mut,coding variant,
DDX3X_mut,coding variant,
DHX15_mut,coding variant,
DHX9_mut,coding variant,
DICER1_mut,coding variant,
DLG1_mut,coding variant,
DNMT3A_mut,coding variant,
EGFR_mut,coding variant,
EIF4G1_mut,coding variant,
EIF4G3_mut,coding variant,
ELF1_mut,coding variant,
ELF3_mut,coding variant,
EP300_mut,coding variant,
EPHA2_mut,coding variant,
EPHA4_mut,coding variant,
ERBB2IP_mut,coding variant,
ERBB2_mut,coding variant,
ERBB3_mut,coding variant,
EWSR1-FLI1_mut,coding variant,
EWSR1-X_mut,coding variant,
EZH2_mut,coding variant,
F8_mut,coding variant,
FAM123B_mut,coding variant,
FAT1_mut,coding variant,
FAT2_mut,coding variant,
FBXW7_mut,coding variant,
FGFR2_mut,coding variant,
FLT3_mut,coding variant,
FN1_mut,coding variant,
FOXP1_mut,coding variant,
FTSJD1_mut,coding variant,
FXR1_mut,coding variant,
GATA3_mut,coding variant,
GNAS_mut,coding variant,
GPS2_mut,coding variant,
HDAC9_mut,coding variant,
HGF_mut,coding variant,
HLA-A_mut,coding variant,
HLA-B_mut,coding variant,
HNF1A_mut,coding variant,
HRAS_mut,coding variant,
IDH1_mut,coding variant,
INPP4A_mut,coding variant,
INPPL1_mut,coding variant,
IREB2_mut,coding variant,
ITSN1_mut,coding variant,
KALRN_mut,coding variant,
KAT6B_mut,coding variant,
KDM5C_mut,coding variant,
KDM6A_mut,coding variant,
KDR_mut,coding variant,
KEAP1_mut,coding variant,
KIT_mut,coding variant,
